Age,EdLevel,Employment,Gender,YearsOfExperience,Status
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,1
36,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,13,1
22,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,0
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,1
45,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,23,1
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,12,0
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
40,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,17,0
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,0
39,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,14,0
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Not employed, but looking for work",Man,NA,1
16,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Woman,NA,1
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,12,0
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,0
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,6,0
22,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,2,1
24,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,0
53,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,28,1
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,1
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,0
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,0
44,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,23,0
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,4,0
44,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,23,1
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,1
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,0
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,14,1
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,0
23,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,2,0
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,1
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,11,1
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,1
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,0
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,3,0
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,2,0
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,1
42,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,15,0
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,4,1
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,1
55,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Woman,25,1
37,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,12,0
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,8,0
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,Less than 1 year,0
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,5,1
45,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,21,0
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Woman,NA,1
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,0
50,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,20,0
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,12,0
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,8,0
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,16,1
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,1
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,0
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,0
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,19,0
41,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,11,0
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,0
64,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Retired,Woman,NA,0
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,0
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,10,0
53,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,35,0
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,1
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,8,0
49,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,20,0
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,1
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,0
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,12,1
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,0
36,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,0
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,6,0
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,1
42,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,25,1
40,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,18,0
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,11,1
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,1
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,18,1
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,14,0
28,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,6,1
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,0
51,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,24,0
